iter	Passed	Remaining
637	158353	89849
638	158610	89606
639	158871	89364
640	159126	89120
641	159380	88875
642	159647	88637
643	159909	88397
644	160161	88151
645	160418	87907
646	160681	87666
647	160939	87423
648	161206	87185
649	161460	86940
650	161708	86691
651	161967	86448
652	162225	86205
653	162470	85955
654	162750	85723
655	163006	85478
656	163269	85238
657	163532	84997
658	163793	84754
659	164057	84514
660	164344	84285
661	164602	84041
662	164880	83807
663	165159	83574
664	165425	83334
665	165624	83061
666	165835	82793
667	166043	82524
668	166266	82263
669	166459	81987
670	166703	81736
671	166908	81467
672	167093	81188
673	167349	80943
674	167525	80660
675	167694	80374
676	167860	80086
677	168039	79806
678	168195	79514
679	168370	79233
680	168522	78940
681	168704	78662
682	168878	78381
683	169062	78104
684	169257	77833
685	169504	77586
686	169795	77359
687	169989	77088
688	170208	76828
689	170401	76557
690	170588	76283
691	170754	76000
692	170934	75724
693	171117	75449
694	171317	75182
695	171549	74929
696	171764	74669
697	171972	74406
698	172226	74163
699	172511	73933
700	172742	73680
701	172974	73427
702	173212	73178
703	173408	72910
704	173585	72635
705	173767	72362
706	173943	72086
707	174125	71814
708	174311	71544
709	174484	71268
710	174709	71014
711	174913	70751
712	175087	70476
713	175282	70211
714	175443	69931
715	175602	69652
716	175757	69371
717	175929	69097
718	176102	68824
719	176275	68551
720	176437	68274
721	176582	67991
722	176742	67714
723	176937	67451
724	177249	67232
725	177426	66962
726	177599	66691
727	177839	66445
728	178030	66181
729	178199	65909
730	178356	65633
731	178547	65369
732	178754	65112
733	178980	64862
734	179250	64627
735	179425	64358
736	179581	64084
737	179736	63809
738	179883	63531
739	180041	63257
740	180204	62986
741	180390	62723
742	180568	62457
743	180738	62189
744	180899	61918
745	181079	61654
746	181306	61406
747	181559	61167
748	181769	60913
749	182030	60676
750	182279	60436
751	182599	60219
752	182789	59958
753	182994	59703
754	183178	59441
755	183488	59221
756	183814	59005
757	184026	58752
758	184207	58490
759	184459	58250
760	184680	58000
761	184899	57750
762	185131	57504
763	185331	57248
764	185521	56990
765	185693	56726
766	185866	56462
767	186194	56246
768	186410	55995
769	186640	55749
770	186823	55489
771	187038	55239
772	187338	55014
773	187620	54783
774	187815	54527
775	188049	54282
776	188261	54031
777	188479	53782
778	188698	53533
779	188912	53282
780	189100	53025
781	189310	52774
782	189577	52539
783	189794	52290
784	190010	52041
785	190226	51791
786	190473	51551
787	190756	51320
788	191033	51087
789	191211	50828
790	191394	50570
791	191571	50311
792	191754	50054
793	191940	49798
794	192149	49547
795	192330	49290
796	192528	49037
797	192713	48782
798	192882	48522
799	193057	48264
800	193224	48004
801	193388	47744
802	193547	47483
803	193734	47228
804	193906	46971
805	194069	46711
