LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN,solar_generated_kwh
30.5,77.5,2021,1,2,0.7666,672.6914999999998
28.0,75.625,2021,1,2,1.2918709831886794,1133.6167877480661
28.0,76.25,2021,1,2,1.2450099488145008,1092.4962300847244
28.0,76.875,2021,1,2,1.212873685296758,1064.296658847905
28.0,77.5,2021,1,2,1.1529318972092673,1011.697739801132
28.5,75.625,2021,1,2,1.3960708181473471,1225.052142924297
28.5,76.25,2021,1,2,1.2066408428318254,1058.8273395849267
28.5,76.875,2021,1,2,1.153480195336829,1012.1788714080674
29.0,75.625,2021,1,2,1.219746461684092,1070.3275201277906
29.0,76.25,2021,1,2,1.1853779084347245,1040.1691146514706
29.0,76.875,2021,1,2,1.142891696668916,1002.8874638269738
29.0,77.5,2021,1,2,1.1455935181601882,1005.258312185565
29.5,75.625,2021,1,2,1.0950249765696765,960.884416939891
29.5,76.25,2021,1,2,1.0629557914640064,932.7437070096655
29.5,76.875,2021,1,2,1.0814696056304944,948.9895789407589
30.0,75.625,2021,1,2,1.0871762384989867,953.9971492828607
30.0,76.25,2021,1,2,1.0378333135701785,910.6987326578316
30.0,76.875,2021,1,2,0.9611550829863656,843.4135853205357
30.0,77.5,2021,1,2,0.9560039466852488,838.8934632163057
30.5,75.625,2021,1,2,1.192664571771041,1046.5631617290883
30.5,76.25,2021,1,2,0.9743789607133776,855.0175380259889
30.5,76.875,2021,1,2,0.8999725409327499,789.725904668488
28.5,75.5,2021,1,3,1.2662,1111.0904999999998
28.5,76.5,2021,1,3,1.1179,980.9572499999999
28.5,77.5,2021,1,3,0.8064,707.616
29.5,75.5,2021,1,3,1.0049,881.7997499999999
29.5,76.5,2021,1,3,1.2257,1075.5517499999999
29.5,77.5,2021,1,3,1.3632,1196.2079999999999
30.5,75.5,2021,1,3,0.9509,834.4147499999998
30.5,76.5,2021,1,3,1.9572,1717.443
30.5,77.5,2021,1,3,1.7196,1508.9489999999998
28.0,75.625,2021,1,3,1.183742940942954,1038.734430677442
28.0,76.25,2021,1,3,1.1188390266685175,981.7812459016241
28.0,76.875,2021,1,3,1.0657177008918464,935.1672825325952
28.0,77.5,2021,1,3,1.0207935898443057,895.7463750883782
28.5,75.625,2021,1,3,1.2240196693980805,1074.0772598968156
28.5,76.25,2021,1,3,1.1477325354821717,1007.1352998856056
28.5,76.875,2021,1,3,1.0865911396632753,953.483725054524
29.0,75.625,2021,1,3,1.1478157465635024,1007.2083176094733
29.0,76.25,2021,1,3,1.157924144578022,1016.0784368672142
29.0,76.875,2021,1,3,1.1336525597947944,994.7801212199322
29.0,77.5,2021,1,3,1.1116844785106206,975.5031298930696
29.5,75.625,2021,1,3,1.0460633921788365,917.920626636929
29.5,76.25,2021,1,3,1.268412974903352,1113.0323854776912
29.5,76.875,2021,1,3,1.3566571500440725,1190.4666491636735
30.0,75.625,2021,1,3,1.185504104938948,1040.279852083927
30.0,76.25,2021,1,3,1.356593969816428,1190.4112085139154
30.0,76.875,2021,1,3,1.569504259973902,1377.239988127099
30.0,77.5,2021,1,3,1.556866300568466,1366.150178748829
30.5,75.625,2021,1,3,1.08044496416869,948.0904560580254
30.5,76.25,2021,1,3,1.5611639412960507,1369.9213584872844
30.5,76.875,2021,1,3,1.6979375139460555,1489.9401684876636
28.5,75.5,2021,1,4,1.8226,1599.3314999999998
28.5,76.5,2021,1,4,1.9241,1688.3977499999999
28.5,77.5,2021,1,4,2.2315,1958.14125
29.5,75.5,2021,1,4,2.137,1875.2175
29.5,76.5,2021,1,4,2.7144,2381.886
29.5,77.5,2021,1,4,2.5975,2279.30625
30.5,75.5,2021,1,4,1.8984,1665.846
30.5,76.5,2021,1,4,2.7847,2443.5742499999997
30.5,77.5,2021,1,4,2.4466,2146.8915
28.0,75.625,2021,1,4,2.0198636178930043,1772.4303247011112
28.0,76.25,2021,1,4,2.071920263601996,1818.1100313107515
28.0,76.875,2021,1,4,2.1216827669270195,1861.7766279784596
28.0,77.5,2021,1,4,2.28906308579623,2008.6528577861918
28.5,75.625,2021,1,4,1.9235505109633853,1687.9155733703708
